Participant,Page,Page Name,Question,Order,Page Loaded,Response Type,Response Recorded,Confirmation_confirmed,Discrete Scale_index,Discrete Scale_value,Choose One_label,Choose One_value,Free Text_text
6634e135e21f434b89972882,32,Overall,,32,2024-05-27T19:40:01.3509717+00:00,Discrete Scale,2024-05-27T19:40:03.1329078+00:00,,3.0,  ,,,
6634e135e21f434b89972882,34,Ease,,34,2024-05-27T19:40:07.2635329+00:00,Discrete Scale,2024-05-27T19:40:15.6130547+00:00,,7.0,8,,,
6634e135e21f434b89972882,35,Meaningfulness,,35,2024-05-27T19:40:16.5161608+00:00,Discrete Scale,2024-05-27T19:40:21.8386873+00:00,,7.0,8,,,
6634e135e21f434b89972882,37,Device,,37,2024-05-27T19:40:26.4164644+00:00,Choose One,2024-05-27T19:40:27.8612347+00:00,,,,Desktop,0.0,
6634e135e21f434b89972882,38,Free text,,38,2024-05-27T19:40:28.8091193+00:00,Free Text,2024-05-27T19:40:33.7810086+00:00,,,,,,No
6634e135e21f434b89972882,39,Time,,39,2024-05-27T19:40:34.8166577+00:00,Choose One,2024-05-27T19:40:37.1517232+00:00,,,,Within the last 7 days,0.0,
6634e135e21f434b89972882,40,Frequency,,40,2024-05-27T19:40:38.1371591+00:00,Choose One,2024-05-27T19:40:40.417683+00:00,,,,Monthly,2.0,
6634e135e21f434b89972882,41,Propose,,41,2024-05-27T19:40:41.3024217+00:00,Choose One,2024-05-27T19:40:43.2555735+00:00,,,,Friends / Family,2.0,
6634e135e21f434b89972882,42,Gender,,42,2024-05-27T19:40:44.3020678+00:00,Choose One,2024-05-27T19:40:45.6232133+00:00,,,,Male,0.0,
6634e135e21f434b89972882,43,Age,,43,2024-05-27T19:40:46.5069755+00:00,Choose One,2024-05-27T19:40:47.7203677+00:00,,,,25-34 years,1.0,
664f89ee07af813c162f6dab,1,Intro,Rail User Survey (5-point) ,1,2024-05-27T19:42:49.106602+00:00,Confirmation,2024-05-27T19:43:10.2462663+00:00,True,,,,,
664f89ee07af813c162f6dab,4,I1,,4,2024-05-27T19:43:25.0808095+00:00,Discrete Scale,2024-05-27T19:43:27.7606153+00:00,,4.0, ,,,
664f89ee07af813c162f6dab,5,S1,,5,2024-05-27T19:43:28.8994467+00:00,Discrete Scale,2024-05-27T19:43:35.1604753+00:00,,3.0, ,,,
664f89ee07af813c162f6dab,6,I2,,6,2024-05-27T19:43:35.9949224+00:00,Discrete Scale,2024-05-27T19:43:37.346516+00:00,,4.0, ,,,
664f89ee07af813c162f6dab,7,S2,,7,2024-05-27T19:43:38.3514532+00:00,Discrete Scale,2024-05-27T19:43:46.898179+00:00,,3.0, ,,,
664f89ee07af813c162f6dab,8,I3,,8,2024-05-27T19:43:47.8250512+00:00,Discrete Scale,2024-05-27T19:43:50.5228179+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,9,S3,,9,2024-05-27T19:43:51.5066969+00:00,Discrete Scale,2024-05-27T19:43:58.6360392+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,10,I4,,10,2024-05-27T19:43:59.6001514+00:00,Discrete Scale,2024-05-27T19:44:05.5289589+00:00,,3.0,  ,,,
664f89ee07af813c162f6dab,11,S4,,11,2024-05-27T19:44:06.4596306+00:00,Discrete Scale,2024-05-27T19:44:10.2140338+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,12,I5,,12,2024-05-27T19:44:11.7033462+00:00,Discrete Scale,2024-05-27T19:44:13.9731172+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,13,S5,,13,2024-05-27T19:44:15.0465918+00:00,Discrete Scale,0001-01-01T00:00:00+00:00,,,,,,
664f89ee07af813c162f6dab,14,I6,,14,2024-05-27T19:44:33.2144589+00:00,Discrete Scale,2024-05-27T19:44:35.4843568+00:00,,5.0,Very Important,,,
664f89ee07af813c162f6dab,15,S6,,15,2024-05-27T19:44:37.3144101+00:00,Discrete Scale,2024-05-27T19:44:41.6568132+00:00,,5.0,Very Satisfied,,,
664f89ee07af813c162f6dab,16,I7,,16,2024-05-27T19:44:42.4008731+00:00,Discrete Scale,2024-05-27T19:44:47.2160161+00:00,,5.0,Very Important,,,
664f89ee07af813c162f6dab,17,S7,,17,2024-05-27T19:44:48.0966264+00:00,Discrete Scale,2024-05-27T19:44:50.1700883+00:00,,5.0,Very Satisfied,,,
664f89ee07af813c162f6dab,18,I8,,18,2024-05-27T19:44:51.4583505+00:00,Discrete Scale,2024-05-27T19:44:55.3185342+00:00,,5.0,Very Important,,,
664f89ee07af813c162f6dab,19,S8,,19,2024-05-27T19:44:56.1528622+00:00,Discrete Scale,2024-05-27T19:44:58.5944112+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,20,I9,,20,2024-05-27T19:44:59.8128397+00:00,Discrete Scale,2024-05-27T19:45:03.820829+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,21,S9,,21,2024-05-27T19:45:05.2149102+00:00,Discrete Scale,2024-05-27T19:45:06.439912+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,22,I10,,22,2024-05-27T19:45:07.1987694+00:00,Discrete Scale,2024-05-27T19:45:11.0253362+00:00,,5.0,Very Important,,,
664f89ee07af813c162f6dab,23,S10,,23,2024-05-27T19:45:11.8761323+00:00,Discrete Scale,2024-05-27T19:45:12.9221797+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,24,I11,,24,2024-05-27T19:45:13.6023386+00:00,Discrete Scale,2024-05-27T19:45:16.333233+00:00,,3.0,  ,,,
664f89ee07af813c162f6dab,25,S11,,25,2024-05-27T19:45:17.1557918+00:00,Discrete Scale,2024-05-27T19:45:19.3400823+00:00,,3.0,  ,,,
664f89ee07af813c162f6dab,26,I12,,26,2024-05-27T19:45:20.2113804+00:00,Discrete Scale,2024-05-27T19:45:24.438132+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,27,S12,,27,2024-05-27T19:45:25.2654994+00:00,Discrete Scale,2024-05-27T19:45:26.2170026+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,28,I13,,28,2024-05-27T19:45:26.8858296+00:00,Discrete Scale,2024-05-27T19:45:28.9165056+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,29,S13,,29,2024-05-27T19:45:29.8890657+00:00,Discrete Scale,2024-05-27T19:45:30.7103727+00:00,,5.0,Very Satisfied,,,
664f89ee07af813c162f6dab,30,I14,,30,2024-05-27T19:45:31.4822886+00:00,Discrete Scale,2024-05-27T19:45:33.5743737+00:00,,3.0,  ,,,
664f89ee07af813c162f6dab,31,S14,,31,2024-05-27T19:45:34.3560078+00:00,Discrete Scale,2024-05-27T19:45:35.904534+00:00,,4.0,  ,,,
664f89ee07af813c162f6dab,32,Overall,,32,2024-05-27T19:45:36.6603858+00:00,Discrete Scale,2024-05-27T19:45:40.5387701+00:00,,4.0,Very Satisfied,,,
664f89ee07af813c162f6dab,34,Ease,,34,2024-05-27T19:45:45.5586534+00:00,Discrete Scale,2024-05-27T19:45:53.7340801+00:00,,8.0,9,,,
664f89ee07af813c162f6dab,35,Meaningfulness,,35,2024-05-27T19:45:54.6846472+00:00,Discrete Scale,2024-05-27T19:46:00.1183382+00:00,,8.0,9,,,
664f89ee07af813c162f6dab,37,Device,,37,2024-05-27T19:46:03.8260115+00:00,Choose One,2024-05-27T19:46:07.075354+00:00,,,,Mobile phone,1.0,
664f89ee07af813c162f6dab,38,Free text,,38,2024-05-27T19:46:07.9981756+00:00,Free Text,2024-05-27T19:46:20.6134501+00:00,,,,,,
664f89ee07af813c162f6dab,39,Time,,39,2024-05-27T19:46:23.2468793+00:00,Choose One,2024-05-27T19:46:27.6918584+00:00,,,,Within the last 7 days,0.0,
664f89ee07af813c162f6dab,40,Frequency,,40,2024-05-27T19:46:28.6869097+00:00,Choose One,2024-05-27T19:46:30.3865273+00:00,,,,Weekly,1.0,
664f89ee07af813c162f6dab,41,Propose,,41,2024-05-27T19:46:31.8960648+00:00,Choose One,2024-05-27T19:46:36.49103+00:00,,,,Commuting,0.0,
664f89ee07af813c162f6dab,42,Gender,,42,2024-05-27T19:46:37.5243898+00:00,Choose One,2024-05-27T19:46:38.949794+00:00,,,,Male,0.0,
664f89ee07af813c162f6dab,43,Age,,43,2024-05-27T19:46:39.882623+00:00,Choose One,2024-05-27T19:46:43.1472407+00:00,,,,25-34 years,1.0,
5f54ab873457c4816755df5f,1,Intro,Rail User Survey (5-point) ,1,2024-05-27T19:45:51.3885385+00:00,Confirmation,2024-05-27T19:46:17.3160872+00:00,True,,,,,
5f54ab873457c4816755df5f,4,I1,,4,2024-05-27T19:46:36.6493884+00:00,Discrete Scale,2024-05-27T19:46:44.5415094+00:00,,5.0, Very Important,,,
5f54ab873457c4816755df5f,5,S1,,5,2024-05-27T19:46:45.6904558+00:00,Discrete Scale,2024-05-27T19:46:51.681018+00:00,,3.0, ,,,
